,Farm,version,iteration,count_mu,sum_in,sum_out,Fself,Edays_in,Edays_out,Edays_self,ncages
0,1,f2,0,0.00115323669978,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
1,2,f2,0,0.00700246427016,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
2,3,f2,0,0.0014673469594500001,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
3,4,f2,0,0.00125251521476,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
4,5,f2,0,0.00111765767846,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
5,6,f2,0,0.006555721217100001,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
6,7,f2,0,0.005953778743539999,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
7,8,f2,0,0.0010162289856900002,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
8,9,f2,0,0.0033703845950399996,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
9,1,f2,1,0.00101055882306,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
10,2,f2,1,0.00699090709472,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
11,3,f2,1,0.0015114785593299998,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
12,4,f2,1,0.00119412686175,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
13,5,f2,1,0.0013513843800999998,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
14,6,f2,1,0.00658440575897,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
15,7,f2,1,0.00597144668163,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
16,8,f2,1,0.00124927051178,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
17,9,f2,1,0.00334616784187,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
18,1,f2,2,0.00109766314276,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
19,2,f2,2,0.00698837181594,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
20,3,f2,2,0.0013973415961300003,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
21,4,f2,2,0.0012384017578900002,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
22,5,f2,2,0.00120929039599,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
23,6,f2,2,0.0067313259598599995,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
24,7,f2,2,0.00618662818153,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
25,8,f2,2,0.000960074392222,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
26,9,f2,2,0.0031300015775199996,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
27,1,f2,3,0.00109738923988,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
28,2,f2,3,0.006932376607,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
29,3,f2,3,0.0015233226274000001,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
30,4,f2,3,0.0012132733240799998,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
31,5,f2,3,0.0011634844724,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
32,6,f2,3,0.00652189251634,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
33,7,f2,3,0.00616253219956,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
34,8,f2,3,0.0009101621103310001,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
35,9,f2,3,0.0031780649540399998,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
36,1,f2,4,0.00108242555443,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
37,2,f2,4,0.0070143703285,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
38,3,f2,4,0.0014643727990699999,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
39,4,f2,4,0.0012618137961300001,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
40,5,f2,4,0.00102717353895,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
41,6,f2,4,0.0067494616273300004,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
42,7,f2,4,0.005891621376220001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
43,8,f2,4,0.00126499273841,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
44,9,f2,4,0.0031679506962899997,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
45,1,f3,0,0.0009959732341319999,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
46,2,f3,0,0.00660800334505,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
47,3,f3,0,0.0013566977311099998,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
48,4,f3,0,0.0011770849577000001,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
49,5,f3,0,0.00117985272182,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
50,6,f3,0,0.006590728849569999,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
51,7,f3,0,0.00638055056887,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
52,8,f3,0,0.00113752702354,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
53,9,f3,0,0.00322628888879,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
54,1,f3,1,0.0011629114025499998,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
55,2,f3,1,0.00687402855558,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
56,3,f3,1,0.00146762054203,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
57,4,f3,1,0.0012701298831900001,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
58,5,f3,1,0.00132126133575,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
59,6,f3,1,0.0070693619644500005,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
60,7,f3,1,0.006079851593270001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
61,8,f3,1,0.00107633900598,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
62,9,f3,1,0.00340797947352,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
63,1,f3,2,0.00114278787498,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
64,2,f3,2,0.006828068072300001,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
65,3,f3,2,0.00136553209348,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
66,4,f3,2,0.00131660232269,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
67,5,f3,2,0.0011635274124800002,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
68,6,f3,2,0.00657792262462,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
69,7,f3,2,0.00593028090843,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
70,8,f3,2,0.00111231241981,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
71,9,f3,2,0.00309260484126,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
72,1,f3,3,0.0010659777874900001,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
73,2,f3,3,0.00683934245504,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
74,3,f3,3,0.0014133059316499999,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
75,4,f3,3,0.00125571541536,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
76,5,f3,3,0.00111292742044,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
77,6,f3,3,0.00669603031355,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
78,7,f3,3,0.006108716862350001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
79,8,f3,3,0.00104685291127,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
80,9,f3,3,0.00318538444939,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
81,1,f3,4,0.00121375419223,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
82,2,f3,4,0.006891824561470001,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
83,3,f3,4,0.00152477449657,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
84,4,f3,4,0.00129940585914,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
85,5,f3,4,0.00120378994806,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
86,6,f3,4,0.00682835503798,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
87,7,f3,4,0.006040723626270001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
88,8,f3,4,0.0009906997872450001,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
89,9,f3,4,0.00331294799262,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
